Time,mag,mag_err
1700.9320584653826,11.931386107823034,0.001222568221443465
1701.0060624871596,12.106623890569871,0.0021686166705170524
1739.8070890853073,12.127200231843139,0.0017226112113196933
1777.091339289203,11.999529295309525,0.0012445860159750084
1795.8407543351425,12.00154562286965,0.004843338689765084
1834.9651284277697,12.288318169701292,0.003395026676598506
1835.0391364739667,12.380998645459167,0.002860772136844934
1853.9648067267044,12.558200314601134,0.0024420179901716646
1854.0387898924655,11.947936326307225,0.0027275826485094403
1890.5029125689925,12.204555817077186,0.0027210336934733875
1918.9195519163266,12.146800988054366,0.0031183817662679544
1918.9935616808048,12.257612930929508,0.002370399120104663
1950.4097252882286,11.662990527126926,0.002293676125274079
1950.4837710374845,11.860878780589989,0.002631752632063675
1990.394570610803,12.568326506991827,0.0018294870608104522
1990.4685784629314,11.916509289430326,0.006637544998963537
2019.2183530519019,12.280096329841818,0.0013963079324829028
2019.3945078701388,12.410104766097682,0.0012549194455462943
2057.128109229704,11.728923334198162,0.0015588615927562585
2057.202074465206,11.951270397369324,0.0014096081459797896
2090.609590407983,12.558149419093379,0.0012881810208908878
2090.6835943112883,11.976414347297528,0.0016769435995446023
2116.4252569634505,12.47347040504315,0.0037106825170998784
2154.5573733695383,12.4423471337084,0.0017669551311444123
2172.3076418522146,11.98578194862629,0.0017645764009801895
2172.3816196445314,12.157100589629785,0.0011209856817200137
2211.2570993114728,12.285041504442916,0.002609520221648251
2267.22494544256,11.685930805145485,0.0021090740639238704
2328.5317223090556,12.532978098076871,0.0019802539344056977
2369.9424896881237,12.551683461004963,0.0012542936281201291
2370.016504088924,11.84069441754479,0.001954315690521985
2399.190498744252,11.80933484362723,0.0017074751421782097
2434.674687622207,11.83909185889608,0.0018565141213759766
2434.7486962607873,11.787674953685615,0.0029765348191790105
2469.2246869062965,12.265625464037385,0.001675257907316776
2469.4008356587233,12.409364241154012,0.003244354677357936
2492.96880262542,11.880585767760941,0.0024296112006999262
2531.597358498002,12.565508743917531,0.0013556150201083175
2548.92205428706,12.415491690248565,0.003297257932222269
2587.549929496363,12.266696645737971,0.0035069636523929987
2609.6039691407314,12.338121177653651,0.001713493591240334
2609.678007996134,12.422498249806214,0.0034941724413020034
2644.152758950043,11.98840635482554,0.0038919478690985056
2677.565865664428,12.41432820168767,0.0015920166267005356
2677.6398475049054,12.443165484210704,0.0017207759797593118
